shape,cut,color,clarity,report,type
Round,Ideal,J,SI1,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Pear,Ideal,F,SI1,GIA,natural
Emerald,Ideal,I,VVS2,GIA,natural
Round,Ideal,J,VS2,GIA,natural
Emerald,Ideal,G,SI1,GIA,natural
Marquise,Ideal,E,SI1,GIA,natural
Round,Ideal,E,SI2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Super Ideal,G,SI2,GIA,natural
Round,Super Ideal,F,SI1,GIA,natural
Round,Super Ideal,H,SI1,GIA,natural
Round,Super Ideal,I,VVS1,GIA,natural
Round,Super Ideal,J,SI2,GIA,natural
Round,Super Ideal,F,SI1,GIA,natural
Emerald,Very Good,D,SI2,GIA,natural
Round,Ideal,J,SI1,GIA,natural
Round,Ideal,F,SI2,GIA,natural
Princess,Very Good,G,VS2,GIA,natural
Princess,Ideal,G,SI1,GIA,natural
Princess,Very Good,F,SI1,GIA,natural
Princess,Very Good,E,SI2,GIA,natural
Princess,Good,F,SI1,GIA,natural
Princess,Ideal,G,VVS2,GIA,natural
Round,Super Ideal,I,VS1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Emerald,Ideal,H,SI1,GIA,natural
Princess,Very Good,H,VS1,GIA,natural
Round,Very Good,I,VS2,GIA,natural
Round,Super Ideal,J,VS2,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Pear,Ideal,F,SI2,GIA,natural
Princess,Fair,J,VS1,GIA,natural
Round,Ideal,E,SI2,GIA,natural
Round,Super Ideal,J,VS1,GIA,natural
Round,Very Good,G,SI2,GIA,natural
Round,Super Ideal,G,SI2,GIA,natural
Round,Ideal,F,SI2,GIA,natural
Round,Super Ideal,J,VS2,GIA,natural
Round,Very Good,H,SI1,GIA,natural
Round,Very Good,H,SI2,GIA,natural
Round,Very Good,J,VS1,GIA,natural
Pear,Very Good,G,SI1,GIA,natural
Emerald,Very Good,E,SI1,GIA,natural
Heart,Very Good,G,SI2,GIA,natural
Princess,Ideal,G,SI1,GIA,natural
Princess,Ideal,H,VS1,GIA,natural
Princess,Good,I,VS2,GIA,natural
Princess,Very Good,F,VS2,GIA,natural
Marquise,Very Good,F,SI1,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Pear,Ideal,H,SI1,GIA,natural
Round,Ideal,J,VVS2,GIA,natural
Pear,Very Good,F,SI1,GIA,natural
Round,Super Ideal,J,VVS2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Super Ideal,G,SI1,GIA,natural
Round,Super Ideal,G,SI2,GIA,natural
Round,Super Ideal,F,SI1,GIA,natural
Round,Super Ideal,F,SI1,GIA,natural
Round,Ideal,I,SI1,GIA,natural
Pear,Ideal,F,SI1,GIA,natural
Emerald,Ideal,F,VS2,GIA,natural
Emerald,Ideal,G,SI1,GIA,natural
Pear,Ideal,F,SI2,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Round,Super Ideal,F,VS2,GIA,natural
Pear,Very Good,H,SI1,GIA,natural
Princess,Ideal,I,SI1,GIA,natural
Emerald,Ideal,I,VVS1,GIA,natural
Emerald,Very Good,E,SI1,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Ideal,F,VS2,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Ideal,G,SI1,GIA,natural
Princess,Very Good,G,SI1,GIA,natural
Princess,Good,E,SI2,GIA,natural
Princess,Very Good,E,SI2,GIA,natural
Princess,Very Good,G,VS2,GIA,natural
Princess,Good,F,SI1,GIA,natural
Pear,Ideal,E,SI1,GIA,natural
Round,Very Good,J,VS2,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Pear,Ideal,G,SI2,GIA,natural
Pear,Ideal,H,SI1,GIA,natural
Round,Super Ideal,J,SI1,GIA,natural
Round,Very Good,G,SI2,GIA,natural
Round,Very Good,J,VS1,GIA,natural
Round,Super Ideal,I,VS2,GIA,natural
Round,Super Ideal,J,VS1,GIA,natural
Round,Super Ideal,I,VS1,GIA,natural
Round,Super Ideal,H,SI2,GIA,natural
Round,Super Ideal,E,SI1,GIA,natural
Round,Super Ideal,J,VS2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Ideal,G,VS1,GIA,natural
Pear,Ideal,G,SI1,GIA,natural
Emerald,Very Good,E,SI1,GIA,natural
Emerald,Ideal,E,SI1,GIA,natural
Marquise,Very Good,E,SI1,GIA,natural
Heart,Very Good,H,SI2,GIA,natural
Emerald,Ideal,G,SI1,GIA,natural
Princess,Very Good,G,SI1,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Ideal,G,SI1,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Ideal,F,VS2,GIA,natural
Princess,Very Good,F,SI1,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Good,F,SI1,GIA,natural
Princess,Very Good,F,SI1,GIA,natural
Princess,Ideal,D,VS1,GIA,natural
Emerald,Ideal,F,SI1,GIA,natural
Pear,Ideal,I,VVS2,GIA,natural
Emerald,Very Good,F,SI1,GIA,natural
Round,Ideal,I,VS1,GIA,natural
Round,Super Ideal,J,VVS2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Super Ideal,J,VS1,GIA,natural
Round,Super Ideal,J,VS1,GIA,natural
Pear,Ideal,E,SI1,GIA,natural
Pear,Ideal,H,SI1,GIA,natural
Emerald,Ideal,I,SI2,GIA,natural
Marquise,Very Good,E,SI2,GIA,natural
Princess,Ideal,G,VS2,GIA,natural
Princess,Ideal,G,SI1,GIA,natural
Princess,Very Good,F,SI1,GIA,natural
Princess,Ideal,G,SI1,GIA,natural
Emerald,Ideal,I,VVS2,GIA,natural
Round,Ideal,F,VS2,GIA,natural
Round,Super Ideal,I,VVS2,GIA,natural
Marquise,Ideal,I,VS2,GIA,natural
Marquise,Ideal,G,SI2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Very Good,F,SI2,GIA,natural
Round,Super Ideal,I,VVS2,GIA,natural
Round,Super Ideal,H,SI1,GIA,natural
Round,Super Ideal,J,VS1,GIA,natural
Round,Very Good,I,VS2,GIA,natural
Round,Super Ideal,G,SI2,GIA,natural
Round,Super Ideal,I,SI2,GIA,natural
Round,Very Good,G,SI2,GIA,natural
Round,Super Ideal,I,SI1,GIA,natural
Round,Very Good,I,VS2,GIA,natural
Round,Very Good,I,SI1,GIA,natural
Emerald,Very Good,F,SI1,GIA,natural
Princess,Ideal,H,VS2,GIA,natural
Princess,Ideal,E,SI2,GIA,natural
Princess,Ideal,I,VVS2,GIA,natural
Princess,Ideal,G,VS1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,E,SI2,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,E,SI2,GIA,natural
Princess,Very Good,E,SI2,GIA,natural
Princess,Good,E,SI1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Round,Very Good,J,VS1,GIA,natural
Marquise,Ideal,F,SI1,GIA,natural
Round,Very Good,H,SI2,GIA,natural
Pear,Ideal,F,SI2,GIA,natural
Pear,Ideal,E,SI1,GIA,natural
Pear,Ideal,J,VVS1,GIA,natural
Round,Super Ideal,F,SI2,GIA,natural
Round,Super Ideal,E,SI2,GIA,natural
Round,Super Ideal,I,VS2,GIA,natural
Round,Very Good,F,SI2,GIA,natural
Round,Super Ideal,F,SI2,GIA,natural
Round,Super Ideal,F,SI2,GIA,natural
Emerald,Ideal,H,SI2,GIA,natural
Emerald,Ideal,F,SI2,GIA,natural
Round,Ideal,J,VS2,GIA,natural
Round,Good,G,SI1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,G,VS1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,F,SI1,GIA,natural
Princess,Ideal,E,SI2,GIA,natural
Princess,Very Good,F,SI1,GIA,natural
Round,Very Good,J,VS2,GIA,natural
Round,Good,F,SI2,GIA,natural
Pear,Ideal,F,SI1,GIA,natural
Marquise,Ideal,H,SI1,GIA,natural
Pear,Very Good,G,SI1,GIA,natural
